ID,TAG,NAME,E_NAME,SYM,COL,CAMP,NUM,RACE1,RACE2,SEX,CLASS,PATRON,CHARA,RELM1,RELM2,LEV,RARE,SPELL,EXP,N_EXP,N_MIN,AGE,SC,WEALTH,FATHER,MOTHER,DV,SP,VIS,AC,EV,VO,ALERT,STR,INT,WIS,DEX,CON,CHA,BONUS,M_HB,M_HM,M_WB,M_WM,F_HB,F_HM,F_WB,F_WM,HAND,RING,AMULET,BODY,OUTER,HEAD,ARMS,FEET,TAIL,SP_MELEE,BATTLE,UNDERLING,ARTIFACT,FLAG,AUTHORITY,DESCRIPTION,E_DESCRIPTION,COMMENT,,,,
40,40,絶叫おばけキノコ,Shrieker mushroom patch,",",R,0,-1,FUNGUS,FUNGUS,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,2,1,50,10,0,0,0,0,200,NONE,NONE,-1,0,4,0,0,0,0,7,7,7,7,7,7,5,100,30,1000,3,100,30,1000,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,,,,FORCE_SLEEP|NEVER_MOVE|NEVER_BLOW|STUPID|EMPTY_MIND|IM_POIS|WILD_SWAMP|NO_CONF|NO_SLEEP|FEARLESS|VARIABLE_SIZE|SHRIEK,,うーん！それはとてもおいしそうに見える。,"Yum!  These look quite tasty.
！",J0#,,,,
41,41,号泣ベトベト,Blubbering icky thing,i,g,0,-1,ICKY,ICKY,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,2,1,50,10,12,103,0,0,200,NONE,NONE,-1,0,14,0,0,0,10,7,7,7,7,7,7,5,70,2,200,1,70,2,200,1,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"CRAWL:POISON:1d10
CRAWL:EAT_FOOD
DROOL
DROOL",,,RAND_50|CAN_SWIM|WEIRD_MIND|TAKE_ITEM|KILL_BODY|EAT_CONF|IM_POIS,,それはドロドロしてベトベトして貪欲な小さいモンスターだ。,"It is a smallish, slimy, icky, hungry creature.
",J0#,,,,
42,42,銀緑ムカデ,Metallic green centipede,c,G,0,-1,ICKY,ICKY,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,2,1,50,10,6,67,0,0,200,NONE,NONE,-1,10,5,0,0,0,10,7,7,7,7,7,7,5,150,2,300,1,150,2,300,1,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,CRAWL:HURT:1d3,,,RAND_50|WILD_ALL|WEIRD_MIND|BASH_DOOR,,それは長さが 1.5 メートル近くもある肉食生物だ。,"It is about four feet long and carnivorous.
 1.5 ","J0#
J0#
J0#(コメント)
J0# 銀～という色のあらわし方はあまり気に入っていない。
J0#",,,,
43,43,見習戦士,Novice warrior,p,U,0,-1,VARIABLE,VARIABLE,VARIABLE,WARRIOR,NONE,VARIABLE,NONE,NONE,2,1,50,10,70,216,0,0,200,NONE,NONE,-1,0,20,0,0,0,5,10,10,10,10,10,10,5,0,0,0,0,0,0,0,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d8
HIT:HURT:1d8
HIT:HURT:1d7",,,HAS_LITE_1|WILD_ALL|OPEN_DOOR|BASH_DOOR|EAT_GIVE_STR|EAT_LOSE_INT|EAT_LOSE_WIS|,,彼はまだまだ経験は浅いようだが、手強い相手だ。,"He looks inexperienced but tough.
",J0#,,,,
44,44,見習盗賊,Novice rogue,p,D,0,-1,VARIABLE,VARIABLE,VARIABLE,ROGUE,NONE,VARIABLE,VARIABLE,NONE,2,1,50,10,50,150,0,0,200,NONE,NONE,-1,0,20,0,0,0,5,10,10,10,10,10,10,5,0,0,0,0,0,0,0,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d5
HIT:HURT:1d5
TOUCH:EAT_GOLD",,,TAKE_ITEM|OPEN_DOOR|BASH_DOOR|WILD_ALL|EAT_GIVE_DEX|EAT_LOSE_WIS|EAT_LOSE_CHR|,,彼は多少は策略をめぐらす。,"A rather shifty individual.
",J0#,,,,
45,45,見習プリースト,Novice priest,p,B,0,-1,VARIABLE,VARIABLE,VARIABLE,PRIEST,NONE,VARIABLE,VARIABLE,NONE,2,1,50,10,100,225,0,0,200,NONE,NONE,-1,0,20,0,0,0,10,10,10,10,10,10,10,5,0,0,0,0,0,0,0,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,HIT:HURT:1d9,,,HAS_LITE_1|FORCE_SLEEP|WILD_ALL|EAT_GIVE_WIS|EAT_LOSE_INT|EAT_LOSE_CON|OPEN_DOOR|BASH_DOOR|HEAL|SCARE|CAUSE_1,,彼は自分の法衣のすそを踏んづけてはつまづいている。,"He is tripping over his priestly robes.
",J0#,,,,
46,46,見習メイジ,Novice mage,p,R,0,-1,VARIABLE,VARIABLE,VARIABLE,MAGE,NONE,VARIABLE,VARIABLE,VARIABLE,2,1,50,10,100,240,0,0,200,NONE,NONE,-1,0,20,0,0,0,5,10,10,10,10,10,10,5,0,0,0,0,0,0,0,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,HIT:HURT:1d8,,,HAS_LITE_1|FORCE_SLEEP|WILD_ALL|EAT_GIVE_INT|EAT_LOSE_STR|EAT_LOSE_CON|OPEN_DOOR|BASH_DOOR|BLINK|BLIND|CONF|MISSILE,,彼はさっと呪文を唱えるだけ唱えては逃げようとする。,"He is leaving behind a trail of dropped spell components.
",J0#,,,,
47,47,黄おばけキノコ,Yellow mushroom patch,",",y,0,-1,FUNGUS,FUNGUS,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,2,1,50,10,10,72,0,0,200,NONE,NONE,-1,0,2,1,0,0,0,7,7,7,7,7,7,5,100,30,1000,3,100,30,1000,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,SPORE:TERRIFY:2d5,,,NEVER_MOVE|WILD_SWAMP|STUPID|EMPTY_MIND|IM_POIS|NO_CONF|NO_SLEEP|FEARLESS|VARIABLE_SIZE,,うーん！それはとてもおいしそうに見える。,"Yum!  It looks quite tasty.
！",J0#,,,,
48,48,ホワイト・ゼリー,White jelly,j,w,0,-1,JELLY,JELLY,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,2,1,50,10,6,66,0,0,200,NONE,NONE,-1,10,2,1,0,0,99,7,7,7,7,7,7,5,100,30,1000,3,100,30,1000,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,TOUCH:DR_MANA:1d3,,,NEVER_MOVE|CAN_SWIM|STUPID|WEIRD_MIND|IM_POIS|HURT_LITE|NO_CONF|NO_SLEEP|FEARLESS|VARIABLE_SIZE,,それは白い肉のような物質の塊だ。,"Its a large pile of white flesh.
",J0#,,,,
49,49,巨大黒アリ,Giant black ant,a,D,0,-1,ANT,ANT,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,2,1,50,10,40,168,0,1,200,NONE,NONE,-1,0,8,0,0,0,80,7,7,7,7,7,7,5,103,13,310,10,103,13,310,10,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,BITE:HURT:1d8,,,RAND_25|WEIRD_MIND|EAT_ACIDIC|BASH_DOOR|WILD_WOOD|WILD_GRASS,,それは大きさが 1 メートル近くもある。,"It is about three feet long.
 1 ",J0#,,,,
50,50,サラマンダー,Salamander,R,o,0,-1,REPTILIA,REPTILIA,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,2,1,50,10,50,143,0,0,200,NONE,NONE,-1,0,8,0,0,0,80,7,7,7,7,7,7,5,87,0,310,0,0,0,0,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,BITE:FIRE:1d7,,,RAND_25|CAN_SWIM|WILD_VOLCANO|IM_FIRE|EAT_FIRE_RES,,黒とオレンジ色のまだら模様をした小さなトカゲだ。,"A small black and orange lizard.
",J0#,,,,
51,51,ホワイト・ハーピー,White harpy,H,w,0,-1,WAREFOLK,WAREFOLK,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,2,1,50,10,30,157,0,0,200,NONE,NONE,-1,0,16,0,0,0,10,7,7,7,7,7,7,5,170,0,500,0,170,0,500,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"CLAW:HURT:1d2
CLAW:HURT:1d2
BITE:HURT:1d3",,,CAN_FLY|WILD_MOUNTAIN|RAND_50,,女性の顔をした鳥で、辺りを飛び回って金切り声を上げている。,"A flying, screeching bird with a woman's face.
",J0#,,,,
52,52,ブルー・イーク,Blue yeek,y,b,0,-1,YEEK,YEEK,VARIABLE,SOLDIER,NONE,VARIABLE,NONE,NONE,2,1,50,10,30,141,0,0,200,NONE,NONE,-1,0,18,0,0,0,10,9,9,8,8,9,8,5,160,8,450,1,140,8,250,1,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,HIT:HURT:2d4,,,HAS_LITE_1|OPEN_DOOR|BASH_DOOR|IM_ACID,,人間に近い姿をした小さな生物だ。,"A small humanoid figure.
",J0#,,,,
53,53,農夫マゴットの飼犬『くいつき』,"Grip, Farmer Maggot's dog",C,w,0,-1,CANINE,CANINE,0x02,NONE,NONE,MIGHTY,NONE,NONE,2,2,50,26,0,0,0,0,200,NONE,NONE,-1,10,30,0,0,0,0,10,10,10,10,10,10,5,50,0,130,0,50,0,130,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,BITE:HURT:2d4,,,UNIQUE|CAN_SPEAK|RAND_25|BASH_DOOR|NO_CONF|NO_SLEEP|FEARLESS,,"農夫マゴットが飼っている少々凶暴な犬だ。それはあなたがキノコを盗んだと
思っている。","A rather vicious dog belonging to Farmer Maggot.  It thinks you are 
stealing mushrooms.

",J0#,,,,
54,54,農夫マゴットの飼犬『おおかみ』,"Wolf, Farmer Maggot's dog",C,w,0,-1,CANINE,CANINE,0x02,NONE,NONE,NIMBLE,NONE,NONE,2,2,50,26,0,0,0,0,200,NONE,NONE,-1,10,30,0,0,0,0,10,10,10,10,10,10,5,50,0,130,0,50,0,130,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,BITE:HURT:2d4,,,UNIQUE|CAN_SPEAK|RAND_25|BASH_DOOR|NO_CONF|NO_SLEEP|FEARLESS,,"農夫マゴットが飼っている少々凶暴な犬だ。それはあなたがキノコを盗んだと
思っている。","A rather vicious dog belonging to Farmer Maggot.  It thinks you are 
stealing mushrooms.

",JZ#,,,,
55,55,農夫マゴットの飼犬『きば』,"Fang, Farmer Maggot's dog",C,w,0,-1,CANINE,CANINE,0x02,NONE,NONE,FEARLESS,NONE,NONE,2,2,50,26,0,0,0,0,200,NONE,NONE,-1,10,30,0,0,0,0,10,10,10,10,10,10,5,50,0,130,0,50,0,130,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,BITE:HURT:2d4,,,UNIQUE|CAN_SPEAK|RAND_25|BASH_DOOR|NO_CONF|NO_SLEEP|FEARLESS,,"農夫マゴットが飼っている少々凶暴な犬だ。それはあなたがキノコを盗んだと
思っている。","A rather vicious dog belonging to Farmer Maggot.  It thinks you are 
stealing mushrooms.

",J0#,,,,
56,56,巨大アマガエル,Giant green frog,R,g,0,-1,REPTILIA,REPTILIA,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,2,1,50,10,30,121,0,0,200,NONE,NONE,-1,0,12,0,0,0,30,10,10,10,10,10,10,5,90,10,500,5,90,10,500,5,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,BITE:HURT:1d7,,,RAND_25|WILD_ONLY|WILD_SHORE|WILD_SWAMP|BASH_DOOR|EAT_POISONOUS,,それは狼と同じくらいの大きさがある。,"It is as big as a wolf.
",J0#,,,,
57,57,好まざる猫『フリージア』,Freesia,f,u,0,-1,FELINE,FELINE,0x01,NONE,NONE,NIMBLE,NONE,NONE,2,1,50,45,0,0,0,0,200,NONE,NONE,-1,10,30,10,0,0,0,10,10,10,10,10,10,5,40,0,70,0,40,0,70,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"CLAW:HURT:2d2
CLAW:HURT:2d3",,,UNIQUE|BASH_DOOR|NO_CONF|NO_SLEEP,,それは狩りを楽しむ縞のある家猫だ。,"A striped housecat who enjoys hunting. 
","JZ#
JZ#(コメント)訳は 紫月閑丸さん",,,,
58,58,緑イモムシの大群,Green worm mass,w,g,0,-1,WORM,WORM,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,2,1,50,10,8,78,0,0,200,NONE,NONE,-1,-10,7,3,0,0,10,10,10,10,10,10,10,5,1,0,10,0,1,0,10,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,CRAWL:ACID:1d6,,,RAND_50|RAND_25|STUPID|WEIRD_MIND|MULTIPLY|IM_ACID|CAN_SWIM|HURT_LITE|FEARLESS,,それはベトベトしたイモムシの大群だ。,"It is a large slimy mass of worms.
",J0#,,,,
59,59,大黄色ヘビ,Large yellow snake,J,y,0,-1,SNAKE,SNAKE,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,2,1,50,10,15,90,0,0,200,NONE,NONE,-1,-10,5,38,0,0,75,10,10,10,10,10,10,5,290,10,500,5,290,10,500,5,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"BITE:HURT:1d7
CRUSH:HURT:2d5",,,RAND_25|CAN_SWIM|WILD_ALL|BASH_DOOR,,それは長さが 3 メートル近くもある。,"It is about ten feet long.
 3 ",J0#,,,,
60,60,洞窟蜘蛛,Cave spider,S,D,0,-1,SPIDER,SPIDER,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,2,1,50,10,30,127,0,0,200,NONE,NONE,-1,10,8,16,0,0,80,10,10,10,10,10,10,5,160,20,430,10,160,20,430,10,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,BITE:HURT:1d5,,,FRIENDS|WEIRD_MIND|BASH_DOOR|HURT_LITE,,それは黒い蜘蛛で発作的に突如動き出す。,"It is a black spider that moves in fits and starts.
",J0#,,,,
61,61,カラス,Crow,B,s,0,-1,BIRD,BIRD,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,2,2,50,10,10,68,0,0,200,NONE,NONE,-1,10,40,12,0,0,0,10,10,10,10,10,10,5,40,4,50,3,40,4,50,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"BITE:HURT:1d6
BITE:HURT:1d6",,,WILD_ONLY|CAN_FLY|WILD_GRASS|WILD_WOOD,,それは黒い羽と頭を除けば灰色の、群れているカラスだ。,"It is a hooded crow, gray except for the black wings and head.
","JZ#
JZ#(コメント)訳は 紫月閑丸さん",,,,
62,62,山猫,Wild cat,f,U,0,-1,FELINE,FELINE,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,2,2,50,10,80,198,0,0,200,NONE,NONE,-1,10,40,12,0,0,0,10,10,10,10,10,10,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"CLAW:HURT:1d6
CLAW:HURT:1d6",,,BASH_DOOR|WILD_ALL,,"通常のネコより体が大きくて大きな声で鳴く。
その柔らかく美しい足には鋭い爪が隠されている。","A larger than normal feline, hissing loudly.  Its velvet paws conceal a
 fistful of needles.

","J0#
J0# (コメント)
J0# 名前の訳は都々目さんによる
J0#",,,,
63,63,指輪の放浪者『スメアゴル』,"Smeagol, the wanderer of the ring",h,u,0,-1,HOBBIT,HOBBIT,0x02,WARRIOR,NONE,FEARLESS,NONE,NONE,52,2,50,53189,0,0,0,0,200,NONE,NONE,2,20,20,12,0,0,5,24,24,24,24,24,24,5,128,0,300,0,128,0,300,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:10d10
HIT:HURT:8d6
HIT:HURT:8d6
HIT:HURT:8d6",,,UNIQUE|CAN_SWIM|CAN_SPEAK|SMART|RAND_25|WILD_ALL|EAT_LOSE_STR|EAT_LOSE_INT|TAKE_ITEM|OPEN_DOOR|BASH_DOOR|INVISIBLE|FRIENDLY|IM_ACID|IM_FIRE|IM_COLD|IM_ELEC|IM_POIS|NO_CONF|NO_SLEEP|HEAL|BLIND|CONF|CAUSE_4|BRAIN_SMASH|FORGET|S_MONSTERS|BA_NETH,,,"





",J0#,,,,
64,64,グリーン・ウーズ,Green ooze,j,g,0,-1,JELLY,JELLY,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,3,2,50,15,15,99,0,0,200,NONE,NONE,-1,10,8,16,0,0,80,10,10,10,10,10,10,5,100,30,1000,3,100,30,1000,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,CRAWL:ACID:1d7,,,RAND_50|RAND_25|STUPID|EMPTY_MIND|IM_ACID|IM_POIS|CAN_SWIM|NO_CONF|NO_SLEEP|FEARLESS|VARIABLE_SIZE,,それは緑色をしたシミのような生物だ。,"It's green and it's oozing.
",J0#,,,,
65,65,ポルターガイスト,Poltergeist,G,s,0,-1,WRAITH,WRAITH,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,3,1,50,15,10,133,0,0,200,NONE,NONE,-1,20,8,15,0,0,10,10,10,10,10,10,10,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,TOUCH:TERRIFY,,,RAND_50|RAND_25|CAN_FLY|INVISIBLE|COLD_BLOOD|PASS_WALL|TAKE_ITEM|IM_COLD|IM_POIS|RES_NETH|HURT_LITE|NO_CONF|NO_SLEEP|BLINK,,それは恐ろしげな幽霊のような姿をしている。,"It is a ghastly, ghostly form.
",J0#,,,,
66,66,イエロー・ゼリー,Yellow jelly,j,y,0,-1,JELLY,JELLY,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,3,1,50,15,20,73,0,0,200,NONE,NONE,-1,10,2,1,0,0,99,10,10,10,10,10,10,5,100,30,1000,3,100,30,1000,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,TOUCH:POISON:1d7,,,NEVER_MOVE|CAN_SWIM|STUPID|EMPTY_MIND|IM_POIS|HURT_LITE|NO_CONF|NO_SLEEP|FEARLESS|VARIABLE_SIZE|DRAIN_MANA,,それは黄色い肉のような物質の塊だ。,"It's a large pile of yellow flesh.
",J0#,,,,
67,67,銀青ムカデ,Metallic blue centipede,c,B,0,-1,ICKY,ICKY,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,3,1,50,15,15,77,0,0,200,NONE,NONE,-1,10,6,6,0,0,15,10,10,10,10,10,10,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,CRAWL:HURT:1d4,,,RAND_50|WEIRD_MIND|BASH_DOOR|WILD_ALL,,それは長さが 1.5 メートル近くもある肉食生物だ。,"It is about four feet long and carnivorous.
 1.5 ",J0#,,,,
68,68,ワタリガラス,Raven,B,D,0,-1,BIRD,BIRD,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,3,2,50,15,100,151,0,0,200,NONE,NONE,-1,10,40,12,0,0,0,10,10,10,10,10,10,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"BITE:HURT:1d7
BITE:HURT:1d7",,,WILD_ONLY|CAN_FLY|WILD_GRASS|WILD_WOOD,,それは真っ黒で、カラスよりも大きい。,"Larger than a crow, pitch black.
","JZ#
JZ#(コメント)訳は 紫月閑丸さん",,,,
69,69,巨大白シラミ,Giant white louse,I,w,0,-1,INSECT,INSECT,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,3,1,50,15,0,0,0,0,200,NONE,NONE,-1,10,6,5,0,0,10,10,10,10,10,10,10,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,BITE:HURT:1d3,,,RAND_50|RAND_25|CAN_FLY|MULTIPLY|WEIRD_MIND,,それは 30 センチもの大きさがある。,"It is six inches long.
 30 ",J0#,,,,
70,70,ピラニア,Piranha,l,B,0,-1,AQUARIC_MONSTER,AQUARIC_MONSTER,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,3,1,50,15,40,187,0,0,200,NONE,NONE,-1,10,20,8,0,0,5,10,10,10,10,10,10,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,BITE:HURT:13d1,,,FRIENDS|AQUATIC|WILD_ALL|RES_WATE,,この血に飢えた魚はあなたの血の匂いを遠くからかぎ分ける。,"Bloodthirsty fish who can smell your blood from a great distance.
",JZ#,,,,
71,71,ブラック・ナーガ,Black naga,n,D,0,-1,NAGA,NAGA,VARIABLE,SOLDIER,NONE,VARIABLE,NONE,NONE,3,1,50,15,40,94,0,0,200,NONE,NONE,-1,0,16,40,0,0,120,10,10,10,10,10,10,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,CRUSH:HURT:2d6,,,RAND_25|BASH_DOOR|CAN_SWIM|EAT_POISONOUS|EAT_GIVE_DEX|EAT_ACIDIC,,女性の上半身を持った大きな黒いヘビだ。,"A large black serpent's body with a female torso.
",J0#,,,,
72,72,斑点おばけキノコ,Spotted mushroom patch,",",o,0,-1,FUNGUS,FUNGUS,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,3,1,50,15,20,108,0,0,200,NONE,NONE,-1,0,2,1,0,0,0,10,10,10,10,10,10,5,100,30,1000,3,100,30,1000,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,SPORE:POISON:2d8,,,NEVER_MOVE|WILD_SWAMP|STUPID|EMPTY_MIND|IM_POIS|NO_CONF|NO_SLEEP|FEARLESS|VARIABLE_SIZE,,うーん！それはとてもおいしそうに見える。,"Yum!  It looks quite tasty.
！",J0#,,,,
73,73,シルバー・ゼリー,Silver jelly,j,W,0,-1,JELLY,JELLY,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,3,2,50,15,25,84,0,0,200,NONE,NONE,-1,10,2,1,0,0,99,10,10,10,10,10,10,5,100,30,1000,3,100,30,1000,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"TOUCH:EAT_LITE:1d6
TOUCH:EAT_LITE:1d6",,,NEVER_MOVE|CAN_SWIM|HAS_DARK_1|STUPID|EMPTY_MIND|IM_POIS|NO_CONF|NO_SLEEP|FEARLESS|VARIABLE_SIZE|DRAIN_MANA,,それは銀色の肉のような物質の塊で、付近の光を全て吸い取る。,"It is a large pile of silver flesh that sucks all light from its 
surroundings.
",J0#,,,,
74,74,貧弱ホビット,Scruffy looking hobbit,h,s,0,-1,HOBBIT,HOBBIT,VARIABLE,SOLDIER,NONE,VARIABLE,NONE,NONE,3,1,50,15,5000,539,0,0,200,NONE,NONE,-1,0,16,8,0,0,10,10,10,10,10,10,10,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d7
TOUCH:EAT_GOLD",,,HAS_LITE_1|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,"汚い服に身を包んだ背の低いホビットだ。きっと安い居酒屋を探し回って
いるのだろう。","A short little guy, in bedraggled clothes.  He appears to be looking 
for a good tavern.

",J0#,,,,
75,75,巨大シロアリ,Giant white ant,a,w,0,-1,ANT,ANT,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,3,1,50,15,40,168,0,1,200,NONE,NONE,-1,0,8,16,0,0,80,10,10,10,10,10,10,5,114,13,350,10,114,13,350,10,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,BITE:HURT:1d7,,,WEIRD_MIND|BASH_DOOR|WILD_GRASS,,それは大きさが 60 センチ近くあり、さらに鋭いアゴも持っている。,"It is about two feet long and has sharp pincers.
 60 ",J0#,,,,
76,76,イエロー・モルド,Yellow mold,m,y,0,-1,MOLD,MOLD,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,3,1,50,15,50,113,0,0,200,NONE,NONE,-1,0,2,10,0,0,99,10,10,10,10,10,10,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,SPORE:HURT:1d8,,,IM_POIS|NO_CONF|NO_SLEEP|FEARLESS,,それはダンジョンの床に生えている奇妙なカビだ。,"It is a strange growth on the dungeon floor.
",J0#,,,,
77,77,銀赤ムカデ,Metallic red centipede,c,R,0,-1,ICKY,ICKY,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,3,1,50,15,150,276,0,0,200,NONE,NONE,-1,10,8,9,0,0,20,10,10,10,10,10,10,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,CRAWL:HURT:1d4,,,RAND_25|WEIRD_MIND|BASH_DOOR|WILD_ALL,,それは長さが 1.5 メートル近くもある肉食生物だ。,"It is about four feet long and carnivorous.
 1.5 ",J0#,,,,
78,78,黄イモムシの大群,Yellow worm mass,w,y,0,-1,WORM,WORM,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,3,2,50,15,10,89,0,0,200,NONE,NONE,-1,-10,7,4,0,0,10,10,10,10,10,10,10,5,1,0,10,0,1,0,10,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,CRAWL:LOSE_DEX:1d5,,,RAND_50|RAND_25|CAN_SWIM|STUPID|WEIRD_MIND|MULTIPLY|EAT_LOSE_DEX|HURT_LITE|FEARLESS,,それはベトベトしたイモムシの大群だ。,"It is a large slimy mass of worms.
",J0#,,,,
79,79,透明イモムシの大群,Clear worm mass,w,B,0,-1,WORM,WORM,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,3,2,50,15,0,0,0,0,200,NONE,NONE,-1,-10,7,1,0,0,10,10,10,10,10,10,10,5,1,0,10,0,1,0,10,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,CRAWL:POISON:1d4,,,ATTR_CLEAR|CAN_SWIM|RAND_50|RAND_25|STUPID|WEIRD_MIND|INVISIBLE|MULTIPLY|EAT_CONF|EAT_POISONOUS|IM_POIS|HURT_LITE|FEARLESS,,それは毒を持った汚らわしいイモムシの大群だ。,"It is a disgusting mass of poisonous worms.
",J0#,,,,
80,80,発光アイ,Radiation eye,e,R,0,-1,FLOATING_EYE,FLOATING_EYE,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,3,1,50,15,0,0,0,0,200,NONE,NONE,-1,0,2,6,0,0,10,10,10,10,10,10,10,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,GAZE:LOSE_STR:1d10,,,NEVER_MOVE|CAN_FLY|SELF_LITE_1|HURT_LITE|FEARLESS|EAT_MANA|EAT_LOSE_STR|DRAIN_MANA,,エネルギーを放出してパチパチと輝いている、体を持たない目玉だ。,"A disembodied eye, crackling with energy.
",J0#,,,,
